א	אַלעף
כּלא־ידע	כּילעיאָדע
כּלאַחר יד	כּילאַחער יאַד
כּלאַחר־יד	כּילאַחער־יאַד
כּלבֿ	כּעלעבֿ
כּלבֿ שבכּלבֿים	כּעלעבֿ שעבאַכּלאָבֿים
כּלבֿ־שבכּלבֿים	כּעלעבֿ־שעבאַכּלאָבֿים
כּלבֿטע	כּלאַווטע,קלאַפֿטע
כּלבֿטעס	כּלאַווטעס,קלאַפֿטעס
כּלבֿים	כּלאָבֿים
כּלה	כּאַלעה
כּלה מויד	כּאַלע מויד
כּלה־מויד	כּאַלע־מויד
כּלהס	כּאַלעס
כּלו כּל הקיצין	כּאָלו כּאָל האַקיצן
כּלומר	כּלוימער
כּלומרשט	כּלוימערשט
כּלות הנפֿש	כּעלאָת האַנעפֿעש
כּלות־הנפֿש	כּעלאָת־האַנעפֿעש
כּלחוך השור	קילכויך האַשאָר
כּלחוך־השור	קילכויך־האַשאָר
כּלי	כּיילע
כּלי בית	כּלע באַיִת
כּלי־בית	כּלע־באַיִת
כּלי זהבֿ	כּלע זאָהאָבֿ
כּלי־זהבֿ	כּלע־זאָהאָבֿ
כּלי זיין	כּלע זאַיִן
כּלי־זיין	כּלע־זאַיִן
כּלי־זמר	כּלעזמער
כּלי־זמרײַ	כּלעזמערײַ
כּלי־זמרים	כּלעזמאָרים
כּלי־זמרין	כּלעזמערן
כּלי יקר	כּלע יאָקער
כּלי־יקר	כּלע־יאָקער
כּלי כּסף	כּלע כּעסעף
כּלי־כּסף	כּלע־כּעסעף
כּלי כּתיבֿה	כּלע קסיבֿעה
כּלי־כּתיבֿה	כּלע־קסיבֿעה
כּלי־מפֿואר	כּלימעפֿויער
כּלי משחית	כּלע מאַשחית
כּלי־משחית	כּלע־מאַשחית
כּלי נפֿלאה	כּיילע ניפֿלאָעה
כּלי־נפֿלאה	כּיילע־ניפֿלאָעה
כּלי קודש	כּלע קוידעש
כּלי־קודש	כּלע־קוידעש
כּלי שלמה	כּיילע שליימעה
כּלי־שלמה	כּיילע־שליימעה
כּלי שני	כּיילע שיינע
כּלי־שני	כּיילע־שיינע
כּלים	כּיילים
כּלל	כּלאַל
כּלל זאַך	כּלאַל זאַך
כּלל־זאַך	כּלאַל־זאַך
כּלל זאַכן	כּלאַל זאַכן
כּלל־זאַכן	כּלאַל־זאַכן
כּלל טוער	כּלאַל טוער
כּלל־טוער	כּלאַל־טוער
כּלל טוערס	כּלאַל טוערס
כּלל־טוערס	כּלאַל־טוערס
כּלל ייִדיש	כּלאַל ייִדיש
כּלל־ייִדיש	כּלאַל־ייִדיש
כּלל ישׂראל	כּלאַל ייִשׂראָעל
כּלל־ישׂראל	כּלאַל־ייִשׂראָעל
כּלל ענינים	כּלאַל איניאָנים
כּלל־ענינים	כּלאַל־איניאָנים
כּלל שפּראַך	כּלאַל שפּראַך
כּלל־שפּראַך	כּלאַל־שפּראַך
כּלל שפּראַכן	כּלאַל שפּראַכן
כּלל־שפּראַכן	כּלאַל־שפּראַכן
כּלליות	כּלאַליִעת
כּללים	כּלאָלים
כּלערליי	כּאָלערליי
כּלפּי	כּלאַפּע
כּלפּי חוץ	כּלאַפּע חוץ
כּלפּי־חוץ	כּלאַפּע־חוץ
כּלפּי פּנים	כּלאַפּע פּנים
כּלפּי־פּנים	כּלאַפּע־פּנים
כּמה	כּאַמעה
כּמה וכּמה	כּאַמע וועכּאַמעה
כּמה־וכּמה	כּאַמע־וועכּאַמעה
כּמה וכּמה טעמים	כּאַמע וועכּאַמע טײַמים
כּמה־וכּמה טעמים	כּאַמע־וועכּאַמע טײַמים
כּמו	כּמוי
כּמובֿן	כּעמוּוון
כּמובֿן מאליו	כּעמוּוון מעיילעוו
כּמובֿן־מאליו	כּעמוּוון־מעיילעוו
כּמות	כּאַמעת
כּמינהגה	כּעמינהאָגעה
כּמינהגו	כּעמינהאָגע
כּמלך בגדוד	כּעמיילעך ביגדוד
כּמלך־בגדוד	כּעמיילעך־ביגדוד
כּמעט	כּימאַט
כּמקדם	כּעמיקעדעם
כּן יאָבֿדו	כּען יאָבֿדו
כּן־יאָבֿדו	כּען־יאָבֿדו
כּן ירבו	כּען ייִרבו
כּן־ירבו	כּען־ייִרבו
כּנגד	כּענעגעד
כּנגדים	כּענעגדים
כּנהוג	כּינהאָג,קענאָהעג
כּנופֿיא	כּנופֿיע
כּנופֿיה	כּנופֿיעה
כּניזכּר לעיל	כּעניסכּער לעייל
כּנ״ל	כּאַנאַל
כּנסתּ	כּנעסעתּ
כּנסת הגדולה	כּנעסעת האַגדוילעה
כּנסת־הגדולה	כּנעסעת־האַגדוילעה
כּנסת ישׂראל	כּנעסעת ייִשׂראָעל
כּנסת־ישׂראל	כּנעסעת־ייִשׂראָעל
כּנען	כּנאַאַן
כּסדר	כּעסיידער
כּסף	כּעסעף
כּסף טהור	כּעסעף טאָהער
כּסף־טהור	כּעסעף־טאָהער
כּעל כּף היד	כּעאַל כּאַף האַיאַד
כּעל־כּף־היד	כּעאַל־כּאַף־האַיאַד
כּעלות	כּאַאַלאָת
כּעלות הבוקר	כּאַאַלאָת האַבויקער
כּעלות־הבוקר	כּאַאַלאָת־האַבויקער
כּעלות השחר	כּאַאַלאָת האַשאַחער
כּעלות־השחר	כּאַאַלאָת־האַשאַחער
כּעני בפּתח	כּעאָני באַפּעתעח
כּעני־בפּתח	כּעאָני־באַפּעתעח
כּעס	כּאַאַס
כּעס וחמה	כּאַאַס וועחיימעה
כּעס־וחמה	כּאַאַס־וועחיימעה
כּעסן	כּײַסן
כּעסנטע	כּײַסנטע
כּעסנים	כּײַסאָנים
כּעסנען	כּײַסענען
כּעפֿרא דאַרעא	כּעאַפֿרע דעאַרע
כּעפֿרא־דאַרעא	כּעאַפֿרע־דעאַרע
כּפּרה	כּאַפּאָרעה
כּפּרה הינדל	כּאַפּאָרע הינדל
כּפּרה־הינדל	כּאַפּאָרע־הינדל
כּפּרהניצע	כּאַפּאָרעניצע
כּפּרהניצעס	כּאַפּאָרעניצעס
כּפּרות	כּאַפּאָרעת
כּפּשוטו	כּעפּשוטע
כּף	כּאָף
כּף־הקל	כּאַפֿאַכּאַל,כּאַפֿאַקל
כּף הקלע	כּאַף האַקעלע
כּף־הקלע	כּאַף־האַקעלע
כּפֿוי טובֿה	כּאָפֿע טויווע,קפֿוּיע טויוועה
כּפֿוי־טובֿה	כּאָפֿע־טויווע,קפֿוּיע־טויוועה
כּפֿוי טובֿהניק	כּאָפֿע טויבֿעניק
כּפֿוי־טובֿהניק	כּאָפֿע־טויבֿעניק
כּפֿול שמונה	כּאָפֿל שמוינעה
כּפֿול־שמונה	כּאָפֿל־שמוינעה
כּפֿול שמונהדיק	כּאָפֿל שמוינעדיק
כּפֿול־שמונהדיק	כּאָפֿל־שמוינעדיק
כּפֿי	כּעפֿי
כּפֿירה	כּפֿירעה
כּפֿל	כּייפֿל
כּפֿל כּפֿלים	כּייפֿל כּעפֿלאַיִם
כּפֿל־כּפֿלים	כּייפֿל־כּעפֿלאַיִם
כּפֿלען	כּייפֿלען
כּפֿתּורן	כּאַפֿתּערן
כּצאן בלי רועה	כּעצוין בלי רויע,קעצוין בעלי רויעה
כּצאן־בלי־רועה	כּעצוין־בלי־רויע,קעצוין־בעלי־רויעה
כּצפּיחית בדבֿש	כּעצאַפּיחעת בידבֿאָש
כּצפּיחית־בדבֿש	כּעצאַפּיחעת־בידבֿאָש
כּקליפּת השום	כּעקליפּעת האַשום
כּקליפּת־השום	כּעקליפּעת־האַשום
כּקריעת ים סוף	כּעקריִעת יאַמסוף
כּקריעת־ים־סוף	כּעקריִעת־יאַמסוף
כּרובֿ	כּרוּוו
כּרוז	כּרוז
כּרחוק מיזרח ממערבֿ	קירכויק מיזרעח מימײַרעבֿ
כּרחוק־מיזרח־ממערבֿ	קירכויק־מיזרעח־מימײַרעבֿ
כּרים וכּסתות	כּאָרים אוכּסאָתעת
כּרים־וכּסתות	כּאָרים־אוכּסאָתעת
כּריתות	כּאָרייתעת
כּרך	כּערעך,קראַך
כּרכים	כּראָכים
כּרעיה דאַבוהדיק	כּרײַע דאַבועדיק
כּרעיה־דאַבוהדיק	כּרײַע־דאַבועדיק
כּרפּס	כּאַרפּעס
כּרת	כּאָרעת
כּשורה	כּעשורעה
כּשל ברך	כּשאַל בערעך
כּשל־ברך	כּשאַל־בערעך
כּשר	כּאָשער
כּשר וישר	כּאָשער וועיאָשער
כּשר־וישר	כּאָשער־וועיאָשער
כּשר־טאַנץ	כּאָשערטאַנץ
כּשר לפּסח	כּאָשער לעפּייסעח
כּשר־לפּסח	כּאָשער־לעפּייסעח
כּשרות	כּאַשרעת
כּשרים	כּשיירים
כּשרן	כּאָשערן,קאַשערן
כּשרס	כּאָשערס
כּשרע	כּאָשערע
כּשרער	כּאָשערער
כּתּ	כּאַתּ
כּתּ דיליה	כּאַתּ דילייה
כּתּ־דיליה	כּאַתּ־דילייה
כּתּ ליצנים	כּאַתּ לייצאָנים
כּתּ־ליצנים	כּאַתּ־לייצאָנים
כּתּבֿות	כּאַתּאָוועת
כּתבֿ	כּתאַבֿ
כּתבֿ־יד	כּתאַבֿיאַד
כּתבֿ־ידן	כּתאַבֿיאַדן
כּתבֿ פּלסתּר	כּתאַבֿ פּלאַסתּער
כּתבֿ־פּלסתּר	כּתאַבֿ־פּלאַסתּער
כּתבֿ רבנות	כּתאַבֿ ראַבאָנעת
כּתבֿ־רבנות	כּתאַבֿ־ראַבאָנעת
כּתבֿא רבא	כּאַסווע ראַבע
כּתבֿא־רבא	כּאַסווע־ראַבע
כּתבֿי יד	כּיסווע יאַד
כּתבֿי־יד	כּיסווע־יאַד
כּתבֿי פּלסתּר	כּיסווע פּלאַסתּער
כּתבֿי־פּלסתּר	כּיסווע־פּלאַסתּער
כּתבֿים	כּתאָבֿים
כּתבֿען	כּאַתבֿען
כּתבֿענען	כּאַתבֿענען
כּתובה	כּתובעה
כּתובות	כּתובעת
כּתובֿ וחתום	כּאָתעוו וועכאָסעם
כּתובֿ־וחתום	כּאָתעוו־וועכאָסעם
כּתובֿים	כּתוּווים
כּתיבֿ	כּתיבֿ
כּתיבֿה	כּתיבֿעה
כּתיבֿה וחתימה טובֿה	כּתיבֿע וועחתימע טויבֿעה
כּתיבֿהן	כּתיבֿען
כּתיבֿיש	כּתיבֿיש
כּתר	כּעתער
כּתריאל	כּאַתריל,קאַסריִעל
כּתריאליק	כּאַתריליק
כּתריאלעווקע	כּאַתרילעווקע
כּתריאלעווקער	כּאַתרילעווקער
כּתריליק	כּאַתריליק
כּתרילעווקע	כּאַתרילעווקע
כּתרילעווקער	כּאַתרילעווקער
כּתרים	כּתאָרים
כף	כאָף
ל…	לאַ…,לי…,לע…
ל	לאַמעד
לא	לוי
לא אַלמן ישׂראל	לוי אַלמען ייִשׂראָעל
לא דובים ולא יער	לוי דובים וועלוי יאַאַר
לא הוכשר דרא	לוי הוכשער דאָרע
לא היה ולא ניבֿרא	לוי הויע וועלוי ניבֿרע
לא היו דבֿרים מעולם	לוי הויו דבֿאָרים מעוילעם
לא יזכר ולא יפּקד	לוי ייִזאָכער וועלוי ייִפּאָקעד
לא ימלט	לוי ייִמאָלעט
לא פֿיללתּי	לוי פֿילאָלתּי
לא די	לוי דײַ
לא־די	לוי־דײַ
לא יוצלח	לוי יוצלעח
לא־יוצלח	לוי־יוצלעח
לא יחרץ	לוי יעחרעץ
לא־יחרץ	לוי־יעחרעץ
לא יחרץ געלט	לוי יעחרעץ געלט
לא־יחרץ־געלט	לוי־יעחרעץ־געלט
לא־כּי	לויקי
לא כּל שכּן	לוי קאָלשעקען,לוי כּאָלשכּען
לא־כּל־שכּן	לוי־קאָלשעקען,לוי־כּאָלשכּען
לא עליכם	לוי אַלייכעם
לא־עליכם	לוי־אַלייכעם
לא עליכמדיק	לוי אַלייכעמדיק
לא־עליכמדיק	לוי־אַלייכעמדיק
לא עלינו	לוי אָליינו
לא־עלינו	לוי־אָליינו
לא־פֿידלתּי	לויפֿידאַלתּי
לא תחמוד	לוי סאַחמעד
לא־תחמוד	לוי־סאַחמעד
לא תיגנובֿ	לוי תיגנעוו
לא־תיגנובֿ	לוי־תיגנעוו
לא תינאף	לוי תינעף
לא־תינאף	לוי־תינעף
לא תירצח	לוי תירצעח,לוי  סערצעח
לא־תירצח	לוי־תירצעח,לוי־־סערצעח
לא־תעשׂה	לויתײַתע,לוישׂעשׂעה
לאה	לייעה
לאהלע	לייעלע
לאהלען	לייעלען
לאהלעס	לייעלעס
לאהן	לייען
לאהס	לייעס
לאַוו	לאַוו
לאַוו דווקא	לאַוו דאַפֿקע
לאַוו־דווקא	לאַוו־דאַפֿקע
לאַחדים	לאַחאָדים
לאַחדימניצע	לאַחאָדימניצע
לאַחדימניצעס	לאַחאָדימניצעס
לאַחדימניק	לאַחאָדימניק
לאַחדימניקעס	לאַחאָדימניקעס
לאַחר המעשׂה	לעאַחער האַמײַסעה
לאַחר־המעשׂה	לעאַחער־האַמײַסעה
לאַחר זמן	לעאַחער זמאַן
לאַחר־זמן	לעאַחער־זמאַן
לאַחר מאה שנים	לעאַחער מייע שאָנים
לאַחר־מאה־שנים	לעאַחער־מייע־שאָנים
לאיבוד	לעיִבעד
לאמר	ליימער
לאמרן	ליימערן
לאַפֿוקי	לאַפֿוקע
לבריאת העולם	ליבריִעת האָוילעם
לבריאת־העולם	ליבריִעת־האָוילעם
לבריאת עולם	ליבריִעס אוילעם
לבריאת־עולם	ליבריִעס־אוילעם
לבֿ	לעבֿ
לבֿ יודע	לעבֿ יעדייע
לבֿ־טובֿ	לעווטאָוו,לעפֿטאָוו
לבֿבֿות	לעוואָוועת
לבֿוש	לעוווּש
לבֿושים	לעוווּשים
לבֿושין	לעוווּשן
לבֿטלה	לעבֿאַטאָלעה
לבֿן	לאָבֿן
לבֿן האַרמי	לאָבֿן האָאַראַמי
לבֿנה	לעבֿאָנעה
לבֿנון	לעבֿאָנען
לבֿנות	לעבֿאָנעת
ל״ג בעומר	לאַג בעוימער,לעגבוימער
ל״ג־בעומר	לאַג־בעוימער,לעגבוימער
לגבי	לעגאַבע
לגמרי	לעגאַמרע
לגנאַי	ליגנײַ
לדוגמא	לעדוגמע
לדור דורות	לעדאָר דוירעת
לדור־דורות	לעדאָר־דוירעת
לדורות	לעדוירעת
להבא	לעהאַבע
להבֿדיל	לעהאַבֿדל
להבֿדיל אלף אַלפֿי הבֿדלות	לעהאַבֿדל עלעף אַלפֿיי האַבֿדאָלעת
להבֿדיל אלף הבֿדלות	לעהאַבֿדל עלעף האַבֿדאָלעת
להד״ם	לעהאַדאַם
להוט	לאָעט,לאָער
להיפּוך	לעהייפּעך
להכעיס	לעהאַכעס
להכעיסניצע	לעהאַכעסניצע
להכעיסניק	לעהאַכעסניק
להרוג ולאַבד	לאַהאַרעג אולעאַבעד
להרוג־ולאַבד	לאַהאַרעג־אולעאַבעד
להשמיד ולהרוג	לעהאַשמיד אולעהאַרעג
להשמיד־ולהרוג	לעהאַשמיד־אולעהאַרעג
לווה	לויוועה
לווי	לייווי
לוויה	לעווײַעה
לוויות	לעווײַעת
לוויים	לעוויִיִם
לווים	לויווים
לוויתן	לעוויאָתן
לוח	לועח
לוחות	לוחעת
לוט	לאָט,לויט
לולבֿ	לולעבֿ
לולבֿים	לולאָבֿים
לומדות	לאָמדעת
לומדים	לאָמדים
לומדיש	לאָמדיש
לומרן	לוימערן
לועג לרש	לויעג לעראָש
לועג־לרש	לויעג־לעראָש
לוריא	לוריע
לזכּרון	לעזיכּאָרן
לזכות	ליסכות
לזכר	לעזייכער
לזכר עולם	לעזייכער אוילעם
לזכר־עולם	לעזייכער־אוילעם
לזכרון דורות	לעזיכרען דוירעת
לזכרון־דורות	לעזיכרען־דוירעת
לחובֿה	לעחויבֿעה
לחוד	לעחוד
לחות	לייחעת,לייחעץ
לחיים	לעחאַיִם
לחיים ולשלום	לעחאַיִם אולעשאָלעם
לחיים־ולשלום	לעחאַיִם־אולעשאָלעם
לחיים טובֿים ולשלום	לעחאַיִם טויבֿים אולעשאָלעם
לחיים־טובֿים־ולשלום	לעחאַיִם־טויבֿים־אולעשאָלעם
לחלוטין	לאַחלוטן
לחם	לעחעם
לחמא	לאַחמע
לחצאָים	לאַחאַצאָיִם
לחצאָין	לאַחאַצאָיִן
לחש	לאַחעש
לחשים	לעחאָשים
לטובֿה	לעטויבֿעה
לטובֿת	לעטויבֿעת
לטובֿת הכּלל	לעטויבֿעת האַכּלאַל
לטובֿת־הכּלל	לעטויבֿעת־האַכּלאַל
לידי גמר	לידיי גמאַר,לידיי געמער
ליהודים	לאַיעהודים
ליל השימורים	לייל האַשימורים
ליל־השימורים	לייל־האַשימורים
ליל שימורים	לייל שימורים
ליל־שימורים	לייל־שימורים
לילית	לילית
לימוד	לימעד
לימודים	לימודים
לינת הצדק	לינעת האַצעדעק
לינת־הצדק	לינעת־האַצעדעק
לינת צדק	לינעת צעדעק
לינת־צדק	לינעת־צעדעק
ליקוי	ליקע
ליקוי חמה	ליקע חאַמעה
ליקוי־חמה	ליקע־חאַמעה
ליקוי לבֿנה	ליקע לעבֿאָנעה
ליקוי־לבֿנה	ליקע־לעבֿאָנעה
ליקויים	ליקויִם
לית ברירה	לעת בריירעה
לית דין ולית דיין	לעת דין וועלעת דײַען
ליתר בטחון	לעיעתער ביטאָחן
ליתר־בטחון	לעיעתער־ביטאָחן
ליתר חיזוק	לעיעתער חיזעק
ליתר־חיזוק	לעיעתער־חיזעק
ליתר תּוקף	לעיעתער תּויקעף
ליתר־תּוקף	לעיעתער־תּויקעף
לכּבֿוד	לעכּאָוועד
לכּל עת	לאַכּל איית
לכּף זכות	לעכּאַף סכות
לכּף־זכות	לעכּאַף־סכות
לכּף חובֿ	לעכּאַף חויבֿ
לכּף־חובֿ	לעכּאַף־חויבֿ
לכּשירוויח	ליכּשעיאַרוויִעח
לכּשירחיבֿ	ליקשעיאַרכעבֿ
לך־לך	לעכלעכאָ
לכאורה	ליכוירעה
לכבֿוד	ליכווויד
לכה דודי	לעכאָ דוידי
לכה־דודי	לעכאָ־דוידי
לכו ונלכה	לעכו וועניילכאָה
לכו נרננה	לעכו נעראַנענאָה
לכו־נרננה	לעכו־נעראַנענאָה
לכל־הדעות	לעכאָלאַדייעת
לכל־הפּחות	לעכאָלאַפּאָחעת
לכן	לאָכיין,לאָכן
לכשירוויח	ליכשעיאַרוויִעח
לכשירחיבֿ	ליכשעיאַרחעבֿ
לכתּחילה	לעכאַתּחילעה
ללעג ולקלס	לעלאַאַג אולקעלעס
ללעג־ולקלס	לעלאַאַג־אולקעלעס
למאַי	לעמײַ
למד	לאַמעד
למד־וואָוו	לאַמעדוואָוו
למד וואָווניצע	לאַמעד וואָווניצע
למד־וואָווניצע	לאַמעד־וואָווניצע
למד וואָווניק	לאַמעד וואָווניק
למד־וואָווניק	לאַמעד־וואָווניק
למדינת הים	לימדינעת האַיאַם
למדינת־הים	לימדינעת־האַיאַם
למדן	לאַמדן
למדנות	לאַמדאָנעת
למדנים	לאַמדאָנים
למהדרין	לעמעהאַדרין
למזל	לעמאַזל
למיספּרם	לעמיספּאָראָם
למך	לעמעך
למעלה	לעמײַלעה
למעלה מן הטבֿע	לעמײַלע מין האַטעווע
למעלה־מן־הטבֿע	לעמײַלע־מין־האַטעווע
למעלה מן השׂכל	לעמײַלע מין האַשׂייכל
למעלה־מן־השׂכל	לעמײַלע־מין־האַשׂייכל
למען האמת	לעמאַן האָעמעת
למען־האמת	לעמאַן־האָעמעת
למען־השם	לעמאַנאַשעם
למען ידעו	לעמאַן ייידו
למען־ידעו	לעמאַן־ייידו
למען ישמעו ויראו	לעמאַן ייִשמעו וועייִרו
למען־ישמעו־ויראו	לעמאַן־ייִשמעו־וועייִרו
למעשׂה	לעמײַסעה
למראית עין	לעמאַרעס אַיִן
למראית־עין	לעמאַרעס־אַיִן
למשל	לעמאָשל
לנוי	לענוי
לסוף	לעסאָף
לסירוגין	לעסיירוגן
לעבֿר הים	לעייבֿער האַיאַם
לעבֿר־הים	לעייבֿער־האַיאַם
לעולם	לעוילעם
לעולם תּיקח	לעוילעם תּיקעח
לעולם ועד	לעוילעם וואָעד
לעולם־ועד	לעוילעם־וואָעד
לעולמות	לעוילאָמעס,לעוילעמעת
לעזאזל	לאַזאָזל
לעילא ולעילא	ליילע אוליילע
לעילא־ולעילא	ליילע־אוליילע
לעילא ולעילאדיק	ליילע אוליילעדיק
לעילא־ולעילאדיק	ליילע־אוליילעדיק
לעיני השמש	לעיינע האַשעמעש
לעיני־השמש	לעיינע־האַשעמעש
לעניננו	לעיִניאָניינו
לערך	לעערעך
לעת זיקנה	לעיית זיקנעה
לעת־זיקנה	לעיית־זיקנעה
לעת־עתּה	לעתאַטעה
לעתיד	לעאָתעד
לעתיד לבֿוא	לעאָתעד לאָווע
לעתיד־לבֿוא	לעאָתעד־לאָווע
לפּ״ג	לאַפּאַג
לפּחות	לעפּאָחעת
לפּנים	לעפּאָנעם
לפּ״ק	לאַפּאַק
לפּרט גדול	ליפּראַט גאָדל
לפּרט־גדול	ליפּראַט־גאָדל
לפּרט קטן	ליפּראַט קאָטן
לפּרט־קטן	ליפּראַט־קאָטן
לפֿי	לעפֿי
לפֿי־דעתּי	לעפֿידאַתּי
לפֿי־זה	לעפֿיזעה
לפֿי מעשׂיו	לעפֿי מײַסעוו
לפֿי־מעשׂיו	לעפֿי־מײַסעוו
לפֿי ערך	לעפֿי ערעך
לפֿי־ערך	לעפֿי־ערעך
לפֿי־שעה	לעפֿישאָה
לפֿי שעהדיק	לעפֿי שאָעדיק
לפֿי־שעהדיק	לעפֿי־שאָעדיק
לפֿי תּומו	לעפֿי תּומע
לפֿי־תּומו	לעפֿי־תּומע
לפֿני ולפֿנים	ליפֿנײַ וועליפֿנים
לפֿני־ולפֿנים	ליפֿנײַ־וועליפֿנים
לפֿני כּל עם ועדה	ליפֿניי כּאָל אַם וועיידעה
לפֿני־כּל־עם־ועדה	ליפֿניי־כּאָל־אַם־וועיידעה
לפֿנים משורת הדין	ליפֿנים מעשורעת האַדין
לפֿנים־משורת־הדין	ליפֿנים־מעשורעת־האַדין
לץ	לעץ
לצון	לאָצן
לצים	לייצים
לצמיתות	ליצמיתעת
לצן	לעצן
לצנות	לעצאָנעת
לצנים	לעצאָנים
לצעווען	לעצעווען
לקחן	לאַטכן,לאַקחן
לקחנים	לאַטחאָנים,לאַקכאָנים
לקחנען	לאַטחענען,לאַקכענען
לרובֿ	לעראָוו
לרעה	לעראָעה
לרצון	לעראָצן
לשבֿח	לישבֿאַח
לשון	לאָשן
לשון הרע	לאָשן האָרע
לשון־הרע	לאָשן־האָרע
לשון זכר	לאָשן זאָכער
לשון־זכר	לאָשן־זאָכער
לשון יחיד	לאָשן יאָחעד
לשון־יחיד	לאָשן־יאָחעד
לשון נקבֿה	לאָשן נעקייבֿעה
לשון־נקבֿה	לאָשן־נעקייבֿעה
לשון נקיה	לאָשן נעקיִעה
לשון־נקיה	לאָשן־נעקיִעה
לשון סגי נהור	לאָשן סעגינאָער
לשון־סגי־נהור	לאָשן־סעגינאָער
לשון קודש	לאָשן קוידעש
לשון־קודש	לאָשן־קוידעש
לשון רבים	לאָשן ראַבים
לשון־רבים	לאָשן־ראַבים
לשונות	לעשוינעת
לשיטתו	לעשיטאָתע
לשם	לעשעם
לשם ייִחוד	לעשעם ייִחעד
לשם־ייִחוד	לעשעם־ייִחעד
לשם שמים	לעשעם שאָמאַיִם
לשם־שמים	לעשעם־שאָמאַיִם
לשמה	לישמאָה
לשנה הבאה בירושלים	לעשאָנאָ האַבאָ בירושאָלאַיִם
לשנה טובֿה תּכּתבֿו	לעשאָנע טויבֿע תּיכּאָתייוווּ
לשנה טובֿה תּכּתבֿו ותחתמו	לעשאָנע טויבֿע תּיכּאָתייוווּ וועתעחאָתיימו
לתּורה לחופּה ולמעשׂים טובֿים	לעתּוירע לעחופּע אולמײַשׂים טויבֿים
לתּורה לחופּה ולמעשׂים־טובֿים	לעתּוירע לעחופּע אולמײַשׂים־טויבֿים
לתּרבות רעה	לעתּאַרבעת ראָעה
לתּרבות־רעה	לעתּאַרבעת־ראָעה
לתּשמיש	לעתּאַשמעש
מ…	מי…,מע…
מ	מעם
מאַבד	מעאַבעד
מאַבד ממון	מעאַבעד מאָמען
מאַבד־ממון	מעאַבעד־מאָמען
מאַבד עצמו לדעת	מעאַבעד אַצמע לאַדאַאַת
מאַבד־עצמו־לדעת	מעאַבעד־אַצמע־לאַדאַאַת
מאדים	מײַדעם
מאה	מייעה
מאַהבֿה	מעאַאַווע,מעאַהאַבֿעה
מאַהבֿת־	מעאַאַוועס,מעאַהאַבֿעת
מאַהבֿת מרדכי	מעאַאַוועס מאָרטכע,מעאַהאַבֿעת מאָרטכע
מאַהבֿת־מרדכי	מעאַאַוועס־מאָרטכע,מעאַהאַבֿעת־מאָרטכע
מאוימדיק	מעוּיעמדיק
מאָוס	מאָעס
מאור	מאָער
מאור הגולה	מאָער האַגוילעה
מאור־הגולה	מאָער־האַגוילעה
מאות	מייעת
מאָזנים	מאָזנאַיִם
מאַחד	מעאַחעד
מאַחורי הפּרגוד	מעאַחויריי האַפּאַרגעד
מאַחורי־הפּרגוד	מעאַחויריי־האַפּאַרגעד
מאַי דקאמרי רביצין	מײַ דעקאָאַמרע רעבעצן
מאַי דקאמרי רבנן	מײַ דעקאָאַמרע ראַבאָנען
מאַי טעמא	מײַ טײַמע
מאַי כּולי האַי	מײַ כּולע הײַ
מאַי נפֿקא מינה	מײַ נאַפֿקע מינעה
מאַי נפֿקא־מינה	מײַ נאַפֿקע־מינעה
מאַי קאָ משמע לן	מײַ קאָ מאַשמע לאָן
מאַיים	מעײַעם
מאימת יום הדין	מעיימעת יאָם האַדין
מאימת־יום־הדין	מעיימעת־יאָם־האַדין
מאיר	מייער
מאיר בעל הנס	מייער באַל האַנעס
מאיר בעל־הנס	מייער באַל־האַנעס
מאיר בעל נס	מייער באַל נעס
מאיר בעל־נס	מייער באַל־נעס
מאכיל טרפֿות	מײַכל טאַרפֿעת
מאכיל־טרפֿות	מײַכל־טאַרפֿעת
מאכל	מײַכל
מאכל מלכים	מײַכל מלאָכים
מאכל־מלכים	מײַכל־מלאָכים
מאכלות אַסורות	מײַכאָלעת אַסורעת
מאכלות־אַסורות	מײַכאָלעת־אַסורעת
מאכלים	מײַכאָלים
מאמין	מײַמען
מאמינים	מײַמינים
מאַמע־לשון	מאַמעלאָשן
מאמר	מײַמער
מאמר המוסגר	מײַמער האַמוסגער
מאמר־המוסגר	מײַמער־האַמוסגער
מאמר חז״ל	מײַמער חאַזאַל
מאמר־חז״ל	מײַמער־חאַזאַל
מאמרי חז״ל	מײַמאָרע חאַזאַל
מאמרי־חז״ל	מײַמאָרע־חאַזאַל
מאמרים	מײַמאָרים
מאמריסטיק	מײַמעריסטיק
מאַן־דאָמר	מאַנדאָמאַר
מאַן־דהוא	מאַנדעהו
מאַנס	מעאַנעס
מאַסף	מעאַסעף
מאַסף ממון	מעאַסעף מאָמען
מאַסף־ממון	מעאַסעף־מאָמען
מאַרבע כּנפֿות האָרץ	מעאַרבע כּאַנפֿעת האָאָרעץ
מאַרבע כּנפֿות־האָרץ	מעאַרבע כּאַנפֿעת־האָאָרעץ
מאַרבע פּינות העולם	מעאַרבע פּינעת האָוילעם
מאַרבע פּינות־העולם	מעאַרבע פּינעת־האָוילעם
מאריך	מײַרעך
מאריך ימים	מײַרעך יאָמים
מאריך־ימים	מײַרעך־יאָמים
מאריך ימים ושנים	מײַרעך יאָמים וועשאָנים
מאריך־ימים־ושנים	מײַרעך־יאָמים־וועשאָנים
מאריכים	מײַריכים
מבול	מאַבל
מבולען	מאַבלען
