source	target	freq
هواية	hiwāyah	1
هوانيسيان	Huwānnīsiyān	1
هوانم	hawānim	1
linguistic	linguistic	1
هوايتها	hiwāyatuhā	1
هوان	Hawān	1
هوامل	Hawāmil	1
الجبد	al-jabr	1
هوامشها	hawāmishahā	1
لدلالة	li-dalālat	1
هوب	Hope	1
الأقفال	al-aqfāl	1
الأقل	al-Aql	1
lil-Thaqāfah	lil-Thaqāfah	1
لدقائق	li-daqāʼiq	1
الأقفهيس	al-Aqfihsī	1
هوجوا	Hūjū	1
هوجو	Hugo	1
هوثورن	Hūthūrn	1
لدكتوراه	li-duktūrāh	1
هوتسما	Hūtsmā	1
هوت	hūt	1
لدكرى	li-Dhikrʹa	1
هيرتزل	Hīrtzal	1
هيرد	Heard	1
لخدعة	li-khidʻat	1
الجحمة	al-Jaḥmah	1
1953-2003	1953-2003	1
الجحظ	al-Jaḥiẓ	1
الأعم	al-aʻamm	1
الجحش	al-jaḥsh	1
الجحام	al-Juḥḥām	1
الأعمار	al-aʻmār	1
وآثارا	wa-āthāran	1
standards	standards	1
لخرائط	li-kharāʼiṭ	1
1426هـ	1426	1
statistical	statistical	1
لخالج	li-Khālid	1
الجحيدري	al-Juḥaydarī	1
لخامعة	li-Jāmiʻat	1
لختان	li-Khitān	1
وآبار	wa-ābār	1
لخرافة	li-khurāfat	1
وʼلمجتمع	waʼl-mujtamaʻ	1
و2010	wa-2010	1
الأعمدة	al-Aʻmidah	1
و27	wa-27	1
و24	wa-24	1
و23	wa-23	1
لخسائر	li-khasāʼir	1
و33	wa-33	1
و20	wa-20	1
و2	wa-2	1
و1999	wa-1999	1
لخصائص	li-Khaṣāʼiṣ	1
الأعناق	al-aʻnāq	1
لخزعل	li-Khazʻal	1
لخرسان	li-Khurāsān	1
standard	standard	1
لخرطوم	al-Kharṭūm	1
وʼلاجوبة	waʼl-ajwibah	1
لخريجي	li-Khirrijī	1
وPKK	wa-PKK	1
وB	wa-B	1
و<فاصيص	wa-aḳāṣīṣ	1
و84	wa-84	1
و4	wa-4	1
و7000	wa-7000	1
و7	wa-sabʻ	1
و6	wa-6	1
و5	wa-5	1
وآثرها	wa-ātharuhā	1
الأعوان	al-aʻwān	1
الجحيشي	al-Juḥayshī	1
وآساد	wa-āsād	1
وآرائه	wa-ārāʼuh	1
الجداريات	al-jidārīyāt	1
وآراؤها	wa-ārāʼuhā	1
statuary	statuary	1
لحيان	Liḥyān	1
وآراءه	wa-ārāʼuhu	1
وآرآء	wa-arāʼ	1
وآشور	wa-Āshūr	1
statut	statut	1
لحوّد	Laḥḥūd	1
وآقا	wa-Āqā	1
لحي	al-ḥayy	1
statue	statue	1
1422ه-2001م	1422H-2001M	1
وآدمها	wa-Ādamuhā	1
وآدم	wa-Ādam	1
وآدب	wa-ādāb	1
الأعلامية	al-iʻlāmīyah	1
الجخيدبي	al-Jakhīdibī	1
وآخرة	wa-ākhirah	1
الأعلامى	al-Aʻlāmī	1
الجخيدب	al-Jukhaydab	1
وآحاد	wa-Āḥād	1
statistics	statistics	1
وآثور	wa-Āthūr	1
وآثرية	wa-atharīyah	1
الجخ	al-Jakhkh	1
لخابيط	lakhābīṭ	1
لخاتمة	li-khātimat	1
1424ھ-21-23	H-21-23	1
الأعقاب	al-aʻqāb	1
الجداد	al-Jaddād	1
وآدابهم	wa-ādābuhum	1
الأعظمين	al-aʻẓamayn	1
الأعلاف	al-Aʻlāf	1
لحيانية	Liḥyānīyah	1
الجد̂د	al-jadîd	1
stats	stats	1
الأعوج	al-Aʻwaj	1
هيرسي	Hersey	1
الأغنياء	al-Aghniyāʼ	1
هيلاسلاسي	Haylāsilāsī	1
هيل	Hīl	1
لخلفيات	li-khalfīyāt	1
الأفخم	al-afkham	1
هيكلة	Haykalat	1
لخلق	li-khalq	1
الأفذاذ	al-afdhādh	1
لخلقه	li-khalqih	1
1429-المحرم	1429-al-Muḥarram	1
الجبي	al-Jubbī	1
لخلدون	li-Khaldūn	1
لخلافة	li-khilāfat	1
هيم	hīm	1
هيمداد	Hīmadād	1
الأغنيات	al-ughnīyāt	1
لخطط	li-khiṭṭat	1
هيلينبراند	Hīlīnbrānd	1
الأغيري	al-Aghyarī	1
لخفض	li-khafḍ	1
لخلاخيل	li-khalākhīl	1
الأغواني	al-Aghwānī	1
لخلاف	li-Khallāf	1
هيلد	Hīld	1
لخليفة	li-Khalīfah	1
هيك	hīk	1
هيرودتس	Hīrūdutus	1
هيز	Hayes	1
هيروشيما	Hīrūshīmā	1
هيرورد	Hereward	1
الأفشاري	al-Afshārī	1
هيرودس	Hīrūdus	1
هيروبولس	Hīrūbūlis	1
الجبهوية	al-jabhawīyah	1
هيرلينع	Herling	1
الأفضليات	al-Afḍalīyāt	1
هيستوري	hīstūrī	1
هيصمي	Hayṣamī	1
1429هـ	H	1
لخماسية	li-khumāsīyat	1
لخمرتي	li-Khamratī	1
143	143	1
هيصة	Hīṣah	1
الأفريقى	al-Afrīqī	1
هيشو	Hayshū	1
لخمس	li-khams	1
stances	stances	1
هيشر	Hayshar	1
الأغنام	al-Aghnām	1
و1969	1969	1
هيموني	Haymūnī	1
و-و-صفه	wa-waṣfuh	1
و-لكن	Wa-lakin	1
و-بالحق	Wa-bi-al-ḥaqq	1
و-J	wa-J	1
و-1980	wa-1980	1
و-	wa-	1
1953-2000	1953-2000	1
الأغبر	al-aghbar	1
و10	wa-10	1
الأغالية	al-Aghālibah	1
و1956	1956	1
و1933	1933	1
stand	stand	1
الأغاريد	al-Aghārīd	1
الأعيرة	al-Aʻyirah	1
و1421	wa-1421	1
و14	wa-14	1
و13	wa-13	1
1427-1338	1338-1427	1
الأغتصاب	al-Ightiṣāb	1
لخطابات	li-khiṭābāt	1
هيهمي	Haythamī	1
هيورث-دون	Heyworth-Dunne	1
هيورث-دن	Heyworth-Dunne	1
الجبيل	al-Jubayl	1
هيورث	Hīwarth	1
هيوا	Hīwā	1
هيهات	hayhāt	1
هيولي	Hayūlī	1
الأغلب	al-Aghlab	1
هينريش	Haynrīsh	1
الأغلبي	al-Aghlabī	1
هينبل	Hīnabil	1
لخطر	li-khaṭar	1
لخطابها	li-khiṭābihā	1
الجتماعي	al-Ijtimāʻī	1
الجتماع	al-Ijtimāʻ	1
الأغر	al-Agharr	1
الأغلاط	al-aghlāṭ	1
الأغراض	al-aghrāḍ	1
هگپ	Hakob	1
هکذا	Hākadhā	1
الأغريق	al-Ighrīq	1
الأغصان	al-aghṣān	1
الأكاسرة	al-Akāsirah	1
هزاري	hazārī	1
small	small	1
هزائم	hazāʼim	1
هز	Hazz	1
لروايات	li-riwāyāt	1
هريمة	Huraymah	1
هريدى	Harīdī	1
هزاعي	Hazzāʻī	1
لروات	li-ruwāt	1
هزان	Hizzān	1
هزم	hazama	1
soap	soap	1
هزيل	hazīl	1
smc	smc	1
هزموا	hazamū	1
هزمتهم	Hazamatʹhum	1
لرو	Lirū	1
هزاني	Hazānī	1
لروا-بوليو	Leroy-Beaulieu	1
هزل	hazl	1
الأمخاخ	al-Amkhākh	1
الأمداح	al-amdāḥ	1
هريب	hārib	1
هرندون	Herndon	1
لروضة	li-rawḍat	1
هروجي	Harūjī	1
لرياض	li-riyāḍ	1
الأمريكى-الصهيوني	al-Amrīkī-al-Ṣihyūnī	1
لريتشارد	li-Rītshārd	1
هرمية	haramīyat	1
هرمونيا	Harmūniyā	1
siège	siège	1
لريسكي	li-Rīskī	1
هرمزد	Hurmuzd	1
الأمريكى	al-Amrīkī	1
الجانح	al-jāniḥ	1
لروايتي	li-riwāyatay	1
لروة	Larwah	1
هري	Harī	1
الأمرتسري	al-Amratsarī	1
الأمركانية	al-Amrikāniyah	1
الأمركي	al-Amrikī	1
الأمريكسوس	al-Amrīksūs	1
هرون	Harūn	1
هرولة	harwalah	1
الجانحون	al-jāniḥūn	1
الجانحة	al-jāniḥah	1
siècles	siècles	1
هـ-1091	H-1091	1
هـ-1074	H-1074	1
1952-1981	1952-1981	1
societes	societes	1
الجاهل	al-jāhil	1
لرفاه	li-rufāt	1
الأمانات	al-Amānāt	1
هـ-1099	H-1099	1
هـ-1171	H-1171	1
هـ-1257	H-1257	1
هـ-217	H-217	1
هـ-388	H-388	1
هـ-26-29	H-26-29	1
هـ-232	H-232	1
لرصد	li-raṣd	1
لرضا	li-Riḍā	1
هـ-230	H-230	1
هـ-1967	H-1967	1
هـ-1285	H-1285	1
هـ-1908	H-1908	1
لرضي	li-Raḍī	1
هـ-1426	H-1426	1
هـ-1419	H-1419	1
هـ-1377	H-1377	1
الجاهزة	al-jāhizah	1
هضلبيم	Haḍalbīm	1
هسهسات	Hasʹhasāt	1
هسين	Hụsayn	1
هسيس	Hasīs	1
هسهسة	Hasʹhasat	1
هسنياني	Hasniyānī	1
هسعهام	Hisʻhām	1
هستيريا	Histīriyā	1
لرهبانيات	li-rahbānīyāt	1
هستي	Hastī	1
الأمتعة	al-amtiʻah	1
الأمتين	al-ummatayn	1
socialization	socialization	1
الأمبراطورية	al-Imbrāṭūrīyah	1
الأمانية	al-Amānah	1
societal	societal	1
لركن	li-Rukn	1
هضاب	hiḍāb	1
الأمانوس	al-Amānūs	1
الجاهز	al-jāhiz	1
لرموز	li-rumūz	1
الأمبراطوريات	al-imbarāṭūrīyāt	1
هـ-612	H-612	1
sins	sins	1
liturgique	liturgique	1
sin	sin	1
لزيارته	li-ziyāratihi	1
هذة	hādhihi	1
لزيد	li-Zayd	1
هذبها	hadhdhabahā	1
هذب	Hudhdhiba	1
هذلية	Hudhalīyah	1
الأمنوقراطية	al-Amanūqirāṭīyah	1
الأمنيات	al-umniyāt	1
15-20	20-15	1
15-94	15-94	1
لزيادة	li-ziyādat	1
الأمنيه	al-Umniyah	1
150-204	150-204	1
silent	silent	1
1952-1974	1952-1974	1
silence	silence	1
الأمويون	al-Umawīyūn	1
لسانها	lisānihā	1
الجامعيه	al-jāmʻīyah	1
simples	simples	1
الجامعيون	al-jāmiʻīyūn	1
لسائلة	li-sāʼilah	1
1500-1885	1500-1885	1
لسابقة	li-sābiqat	1
الأمود	al-Aswad	1
الأمومة	al-umūmah	1
الأمورية	al-Amūrīyah	1
الأمول	al-amwal	1
لساطع	li-Sāṭiʻ	1
لسالك	li-sālik	1
لزاوية	li-zāwiyat	1
هرشي	Harshī	1
هرشاني	Harshānī	1
الأمسيات	al-umsiyāt	1
هرز	Ḥirz	1
الأمسية	al-umsiyah	1
size	size	1
لزغل	li-zaghal	1
هرج	Haraj	1
الأمطاكية	al-Anṭākīyah	1
الأمعن	al-amʻan	1
هرتسيليا	Hirtsīliyā	1
هرطقات	Harṭaqāt	1
هرفوف	Harfūf	1
الأمزجة	al-amzijah	1
الأمريكية-العالمية	al-Amrīkīyah-al-ʻālamīyah	1
الأمريكية-الإيرانية	al-Amrīkīyah-al-Īrānīyah	1
هرمان	Fridrīk	1
لزبير	li-Zubayr	1
لزرع	li-zarʻ	1
هرقلة	Hiraqlah	1
الأمريكيون	al-Amirīkīyūn	1
الأمريکية-الکويتية	al-Amrīkīyah-al-Kuwaytīyah	1
هركب	ha-rakkib	1
هرتس	Hirts	1
لزكى	li-Zakī	1
هرات	Hirāt	1
sites	sites	1
هراة	Hirāt	1
situation	situation	1
لزوار	li-zūwār	1
هذّبه	hadhdhabahu	1
هذين	hādhayn	1
لزوج	li-zawj	1
الجاميعة	al-Jāmīʻah	1
لزلات	li-zallāt	1
لزمار	li-zummār	1
هرة	Hirrat	1
لزمن	li-zaman	1
هربيد	Harbīd	1
هربنا	Harabnā	1
siyāsī	سياسي	1
sixteen	sixteen	1
الجامية	al-Jāmīyah	1
الأملس	al-amlas	1
هـ-589	H-589	1
لرشدي	li-Rushdī	1
souverains	souverains	1
الألبيري	al-Ilbīrī	1
لذلك	Li-dhālik	1
1492	1492	1
الجبابرة	al-jabābirah	1
لرأس	li-raʼs	1
الألفاف	al-alfāf	1
همفريز	Humphreys	1
همكارى	hamkārī	1
الجباراب	al-jubārāb	1
لذكر	li-Dhikrʹa	1
هميلة	Hamīlah	1
الجبارات	al-Jabbārāt	1
هميسات	Humaysāt	1
هملان	Hamalān	1
الألش	al-alsh	1
literary	literary	1
همم	himam	1
همزيات	Hamziyāt	1
société	socieété	1
لرؤيتهم	li-ruʼyatihim	1
هماوهندي	Hamāwahandī	1
لرئاسة	li-Riʼāsat	1
همد	Hamdi	1
الأله	al-Ilāh	1
الألهة	al-Alihah	1
الألهية	al-Ilāhīyah	1
همجية	hamajīyat	1
همزه	hamzah	1
لرؤساء	li-Ruʼasāʼ	1
الألفى	al-Alfī	1
همز	Hamza	1
همر	Hamar	1
solutions	solutions	1
همذانى	Hamadhānī	1
الألكتروني	al-Iliktrūnī	1
همدانى	Hamadānī	1
الألكسو	al-Aliksū	1
لرؤية	li-ruʼyah	1
الجبارة	al-jabbārah	1
لذاهب	limadhāhib	1
1492-1610	1492-1610	1
1464-1591	1464-1591	1
لديموقراطية	al-dīmūqrāṭīyah	1
lists	lists	1
هندسي	handasī	1
الأكرية	al-Akrīyah	1
الأكسجين	al-Uksijīn	1
هندرسون	Henderson	1
الأكدية-العربية	al-Akkadīyah-al-ʻArabīyah	1
هنها	ʻanhā	1
هنقاري	Hanqārī	1
1952-1987	1952-1987	1
souvenirs	souvenirs	1
هنشير	Hanshīr	1
الأكبري	al-Akbarī	1
لديداكتيك	li-Dīdāktīk	1
هنري-بوردو	Henry-Bordeaux	1
1459-1541	1459-1541	1
الأكثر	al-akthar	1
الجبان	al-Jabbān	1
لديب	li-Dīb	1
الأكسرخوس	al-Aksarkhūs	1
الأكشة	al-Akshah	1
الألبوم	al-Albūm	1
الألبانية	al-Albānīyah	1
هنائية	Hanāʼīyah	1
لذاته	li-dhātihi	1
1481	1481	1
soufis	soufis	1
لذاتيات	li-dhātīyāt	1
1483	1483	1
1488-1541	1488-1541	1
الألبانى	al-Albānī	1
الألبا	al-alibbā	1
هنتينغتون	Hantīnghtūn	1
لديوانيات	li-dīwānīyāt	1
لدينا	Ladaynā	1
الأكفان	al-akfān	1
هنتنجتون	Hintinjitūn	1
لديناميات	li-dīnāmīyāt	1
الأكمه	al-akmah	1
الجباس	al-Jabbās	1
هنامي	Hinnāmī	1
الأكويني	al-Akwīnī	1
الألاف	al-ālāf	1
الألايلي	al-Alāyilī	1
هـ-658	H-658	1
هفوة	Hafwah	1
هفو	hafū	1
الأمامة	al-Amānah	1
هفن	Hivin	1
هـيز	Hīz	1
هـ861-870	H-861-870	1
هققه	haqqaqahu	1
هلابي	Hallābī	1
الأمازيغيين	al-Amāzīghīyīn	1
الأماسي	al-Amāsī	1
الأمالى	al-Amālī	1
لرحلة	li-riḥlat	1
لرزق	li-Rizq	1
هـ-٥٢١	H-521	1
هـ-٤٧٨	H-478	1
هـ-761	H-761	1
littéraires	littéraires	1
هـ-غرة	H-ghurrat	1
هـ-933	H-933	1
الأمامية	al-Imāmīyah	1
هـ-9	H-9	1
هـ-838	H-816	1
لرسالته	li-risālatihi	1
هـ-١٠٥٥	H-1055	1
هـ-699	H-699	1
هـ-685	H-685	1
هـ-681	H-681	1
هـ-680	H-680	1
لرسول	li-Rasūl	1
هـ-نوفمبر	H-Nūfimbir	1
هـ-٤٦٣	H-463	1
هـ-١٣٦٨	H-1368	1
هـ-٣٨٠	H-380	1
هـ-١٩٢٩	H-1929	1
هـ-١٨٧١	H-1871	1
هـ-١٨٦٥	H-1865	1
هـ-١٤٣١	H-1431	1
هـ-١٣٩٥	H-1395	1
هـ-١٣٢٥	H-1325	1
هـ-١٠٩٩	H-1099	1
لرسائله	li-rasāʼilih	1
هـ-١٣٠٩	H-1309	1
الجاهليات	al-Jāhilīyāt	1
هـ-١١٤٧	H-1147	1
لرحل	li-raḥil	1
1499-1577	1499-1577	1
هليو	Hilyū	1
هليه	ʻalayhi	1
الألومنيوم	al-alūminyūm	1
الألوهة	al-ulūhah	1
الجاوية	al-Jāwīyah	1
الألويس	al-Alūsī	1
هليس	Hulays	1
الألى	al-ūlá	1
هلي	Halī	1
هلول	Halūl	1
الأليانسي	al-Aliyānsī	1
الأليف	al-alīf	1
هله	hillah	1
لراحة	li-rāḥat	1
الأليفة	al-alīfah	1
لرائد	li-rāʼid	1
الألواح	al-Alwāḥ	1
همالي	Hamālī	1
همارة	ʻImārah	1
همادي	Hammādī	1
الجب	al-jubb	1
هماتزادة	Himmātʹzādah	1
الألوسيين	al-Alūsīyīn	1
همائى	Humāʼī	1
1493-1528	1493-1528	1
الجاوى	al-Jāwī	1
هلمس	Holmes	1
1494	1494	1
لربيع	li-rabīʻ	1
الجاهليةة	al-Jāhilīyah	1
هلباوى	Hilbāwī	1
الجاوا	al-Jāwā	1
لرجلين	li-rajulayn	1
لرجم	li-rajm	1
هلة	Halah	1
هلجا	Helga	1
هلكت	halakt	1
هلسنكي	Hilsinkī	1
هلك	halak	1
هلفي	Halfī	1
هلغى	Hilghá	1
هلسه	Halasā	1
لرامي	li-Rāmī	1
sociological	sociological	1
لراميش	li-Rāmīsh	1
لرب	li-Rabb	1
1493-1931	1493-1931	1
الأعشي	al-Aʻshá	1
وأنشطة	wa-anshiṭat	1
وأنحائها	wa-anḥāʼuhā	1
وأنجاله	wa-anjālihi	1
وأنجاد	wa-anjād	1
وأنثى	wa-unthá	1
وأنثروبولوجية	wa-anthrūbūlūzhīyah	1
وأنتهى	wa-intahá	1
وأنت	wa-anti	1
وأنبياء	wa-Anbiyāʼ	1
الجراوي	al-Jarāwī	1
1954-1958	1954-1958	1
syriaques	syriaques	1
وأندلسية	wa-Andalusīyah	1
وأنسام	wa-ansām	1
لجناب	li-janāb	1
وأنساق	wa-ansāq	1
الجراي	al-Jirāy	1
syriennes	syriennes	1
1954-1970	1954-1970	1
الأسطول	al-Usṭūl	1
الأسعاف	al-isʻāf	1
وأندية	wa-andiyat	1
لجهالات	li-jahālāt	1
وأمكنة	wa-amkinah	1
لجهاد	Li-jihād	1
وأمطار	wa-amṭār	1
وأمضي	wa-amḍī	1
الأسكندري	Iskandarī	1
وأمشي	wa-amshī	1
وأمرهم	Wa-amruhum	1
الأسكوا	al-Iskuwā	1
وأمراؤها	wa-umarāʼuhā	1
لجهة	li-Jihat	1
وأممية	wa-umamīyat	1
وأمني	wa-amnī	1
وأمينها	wa-Āmīnahā	1
وأموت	wa-amūtu	1
لجنس	li-jins	1
الأسفراييني	al-Asfarāyīnī	1
الأسفي	al-Asafī	1
وأميرة	wa-amīrat	1
الأسقاطي	al-Asqāṭī	1
وأمنيا	wa-amnīyan	1
وأموال	wa-amwāl	1
وأمواج	wa-amwāj	1
الأسقام	al-Asqām	1
وأنسنة	wa-ansanat	1
وأنشطته	wa-anshiṭatuhu	1
وأمر	wa-amara	1
وأنشطتها	wa-anshiṭatihā	1
وأهره	wa-atharuhu	1
syriens	syriens	1
وأهازيج	wa-ahāzīj	1
وأنوثة	wa-unūthat	1
وأنواعها	wa-anwāʻhā	1
لجمعيية	li-Jamʻīyat	1
وأهلا	wa-ahlihā	1
الأسروشني	al-Usrūshanī	1
وأوبئة	wa-awbiʼat	1
sécurité	sécurité	1
وأوامر	wa-awāmir	1
وأوائل	wa-awāʼil	1
الأسرج	al-Asraj	1
systeme	systeme	1
لجمعة	li-Jamaʻat	1
الأسرتين	al-usratayn	1
الأسط	al-Awsaṭ	1
الأسطح	al-Asṭuḥ	1
وأنطاكية	wa-Anṭākiyah	1
الأسطه	al-Usṭah	1
وأنطون	wa-Anṭūn	1
وأنطولوجي	wa-anṭūlūjī	1
وأنطوان	wa-Anṭwān	1
وأنصفه	wa-anṣafahu	1
وأنظمته	wa-anẓimatuhu	1
وأنصارها	wa-anṣārihā	1
الجربان	al-Jarbān	1
وأنصاره	wa-anṣāruhu	1
الجرباء	al-Jarbāʼ	1
وأنظمتها	wa-anẓimatahā	1
وأنماطه	wa-anmāṭihi	1
لجملة	li-jumlat	1
وأنهاه	wa-anhāhu	1
وأنها	wa-annahā	1
وأنه	wa-Innahu	1
وأنموذج	wa-unmūdhaj	1
لجمن	Lijman	1
الأسطرلابي	al-Asṭurlābī	1
وأنقذت	wa-anqadhat	1
الأسطغرافيا	al-Asṭughirāfiyā	1
وأنغام	wa-anghām	1
وأنظمتهم	wa-anẓimatihim	1
الأسكوبي	al-Uskūbī	1
وأمداح	wa-amdāḥ	1
وأوجاع	wa-awjāʻ	1
الجرار	al-jirār	1
وأفيان	wa-Afiyān	1
لحاج	li-Ḥājj	1
وأفهم	wa-afham	1
لحارة	li-ḥārah	1
وأفنان	wa-Afnān	1
لحارسة	li-Ḥārisat	1
وأفلاطون	wa-Aflāṭūn	1
وأفكاره	wa-afkāruhu	1
الجراخ	al-Jirākh	1
الأسواء	al-aswāʼ	1
وأقاصيص	wa-aqāṣīṣ	1
وأقاصيصه	wa-aqāṣīṣih	1
الأسنوي	al-Isnawī	1
وأقرها	waʼaqarrahā	1
وأقضية	wa-aqḍiyah	1
الأسناء	al-Asnāʼ	1
وأقسامه	wa-aqsāmuhu	1
وأقسام	wa-aqsām	1
الجرادة	al-jarādah	1
وأقزام	wa-aqzām	1
وأقره	wa-aqarrahu	1
وأقاليمها	wa-aqālīmihā	1
وأقرانه	wa-aqrānahu	1
لحائية	li-Ḥāʼīyat	1
وأقدار	wa-aqdār	1
وأقاويل	wa-aqāwīl	1
وأفقرهم	wa-afqarahum	1
وأغانيه	wa-aghānīh	1
وأغنياء	wa-aghniyāʼ	1
وأغلقه	wa-ughliquh	1
وأغلال	wa-aghlāl	1
وأغفله	wa-aghfalahu	1
وأغراضه	wa-aghrāḍuh	1
وأفارقة	wa-Afāriqah	1
supplement	supplement	1
الأسودي	al-Aswadī	1
الأسياد	al-Asyād	1
وأعوانهم	wa-aʻwānuhum	1
وأعوانه	wa-aʻwānuh	1
وأغنية	wa-ughnīyat	1
وأفاض	wa-afāḍ	1
وأفست	wa-Ufsit	1
وأفعلت	wa-afʻaltu	1
وأفعالهم	wa-afʻālihim	1
وأفعاله	wa-afʻālih	1
وأفعالنا	wa-afʻālunā	1
وأفضل	wa-afḍal	1
وأفريقية	wa-Afrīqiyah	1
وأفراخ	wa-afrākh	1
supply	supply	1
وأفراد	wa-afrād	1
لحاضر	li-ḥāḍir	1
الأسمى	al-Asmá	1
وأقفية	wa-aqfiyah	1
الأسكيا	al-Askiyā	1
الأسمرية	al-Asmarīyah	1
وألقابهم	wa-alqābuhum	1
وألقابها	wa-alqābihā	1
syntactical	syntactical	1
وألفها	wa-allafahā	1
لجوء	lujūʼ	1
الأسلاميه	al-Islāmīyah	1
لجواد	li-Jawād	1
وألفة	wa-allafah	1
lexicon	lexicon	1
وألغام	wa-alghām	1
وألعابها	wa-alʻābuhā	1
وألحقت	wa-ulḥiqat	1
وألقاها	wa-alqāhā	1
وألمي	wa-alamī	1
الأسلامى	al-Islāmī	1
الجراشي	al-Jarāshī	1
وأمثاله	wa-amthāluh	1
الأسلاك	al-Aslāk	1
وأماني	wa-amānī	1
وأماليه	wa-amālīhi	1
وألوان	wa-Alwān	1
وأمالي	wa-Amālī	1
وأما	wa-ammā	1
وأم	wa-Umm	1
وألوانه	wa-alwānihi	1
وألحق	Wa-ulḥiqa	1
لجوانبها	li-jawānibihā	1
وألحانها	wa-alḥānuhā	1
وأقوالهم	wa-aqwālihim	1
الأسمار	al-asmār	1
لجوزف	li-Jūzif	1
لجوهرة	li-jawharat	1
وأكاذيب	wa-akādhīb	1
surrounding	surrounding	1
survey	survey	1
لجيد	li-jīd	1
وأكتفي	wa-aktafī	1
الأسليمي	al-Aslīmī	1
وأكيد	wa-akīd	1
وألتزام	wa-iltizām	1
الأسلن	al-Alsun	1
وألبانيا	wa-Albāniyā	1
وألاواخر	wa-al-awākhir	1
الجرارة	al-jarrārah	1
وألإرشاد	wa-al-Irshād	1
وأكنافه	wa-aknāfih	1
وأكد	wa-Akad	1
وأكناف	wa-aknāf	1
وأكمله	wa-akmalahu	1
synods	synods	1
وأكل	wa-akl	1
وأكرم	wa-Akram	1
وأوبريت	wa-ūbrīt	1
وأوجع	wa-awjaʻ	1
وأعوان	wa-aʻwān	1
لجاج	Lajāj	1
وإرجاع	wa-irjāʻ	1
وإرث	wa-irth	1
وإرتباطه	wa-irtibāṭuhu	1
tax	tax	1
وإذاعته	wa-idhāʻatuh	1
وإذاعة	wa-idhāʻat	1
taranslation	translation	1
وإذ	Wa-idhā	1
وإدوارد	wa-Idwārd	1
1954-والعياذ	1954-wa-al-ʻiyādhu	1
وإدماج	wa-idmāj	1
وإدريس	wa-Idrīs	1
وإدانته	wa-idānatuh	1
الأساطين	al-asāṭīn	1
الأسارير	al-asārīr	1
لجامع	li-Jāmiʻ	1
لجاسم	li-Jāsim	1
وإستخدام	wa-istikhdām	1
وإستخدامها	wa-istikhdāmuhā	1
وإستخداماتها	wa-istikhdāmātuhā	1
لجاد	li-Jād	1
وإستخدامات	wa-istikhdāmāt	1
الجركسية	al-Jarkasīyah	1
وإرهابا	wa-irhāban	1
وإستثمارية	wa-istithmārīyah	1
وإستثمارها	wa-istithmāruhā	1
وإستانبول	wa-Istānbūl	1
وإزدواجية	wa-izdiwājīyat	1
الأساتوك	al-Asātūk	1
لجارودي	li-Jārūdī	1
وإداري	wa-idārī	1
وإدارتها	wa-idāratihā	1
الجرفادقاني	al-jirfādqānī	1
وإختيارها	wa-ikhtiyārihā	1
وإختيارات	wa-ikhtiyārāt	1
tankegang	tankegang	1
الأسباب-التداعيات	al-asbāb-al-tadāʻīyāt	1
وإختفت	Wa-ikhtafat	1
وإختطاف	wa-ikhtiṭāf	1
لجامعهي	li-jāmiʻihī	1
وإختصاصاته	wa-ikhtiṣāṣātuhu	1
وإختصار	wa-ikhtiṣār	1
الأسبان	al-Asbān	1
141	141	1
الأساند	al-asānīd	1
وإدارته	wa-idāratihi	1
وإخوان	wa-Ikhwān	1
1409هـ	1409H	1
وإخوتها	wa-ikhwatuhā	1
وإخلائه	wa-ikhlāʼihi	1
الجرقويي	al-Jarqūyī	1
وإخفاقات	wa-ikhfāqāt	1
وإخفاق	wa-ikhfāq	1
الأسامى	al-asāmī	1
الأسامي	al-asāmī	1
وإستخلاص	wa-istikhlāṣ	1
وإستدامة	wa-istidāmah	1
الأسباني	al-Isbānī	1
الجرم	al-Jirm	1
لثقافتك	li-thaqāfatik	1
وإسلاميون	wa-Islāmīyūn	1
لثقة	li-Thiqat	1
الجرموني	al-Jarmūnī	1
وإسلامي	wa-Islāmī	1
وإسلامها	wa-Islāmihā	1
وإسلامه	wa-Islāmih	1
وإسلام	wa-Islām	1
وإسرائيليون	wa-Isrāʼīlīyūn	1
وإسرائيليات	wa-Isrāʼīlīyāt	1
taʼlīf	taʼlīf	1
وإسناد	wa-isnād	1
وإشعاع	wa-ishʻāʻ	1
وإشكالاته	wa-ishkālātuhu	1
te	te	1
وإشعاعها	wa-ishʻāʻuhā	1
وإشراقة	wa-ishrāqat	1
وإسهام	wa-isʹhām	1
وإشراقاته	wa-ishrāqātuh	1
1408	1408	1
وإشتراكية	wa-ishtirākīyat	1
وإسهامها	wa-isʹhāmuhā	1
وإسهاماته	wa-isʹhāmātuhu	1
الأزور	al-Azwa	1
وإسحاق	wa-Isḥāq	1
الجرماني	al-Jarmānī	1
الجرمانية	al-Jirmānīyah	1
وإسترجاع	wa-istirjāʻ	1
لج	li-J	1
الأزيمع	Uzaymiʻ	1
وإستراتيجياته	wa-istrātījīyātuhu	1
وإستدرك	wa-istadraka	1
taşra	taşra	1
وإستشاري	wa-istishārī	1
لثمن	al-Thaman	1
وإستيلائهم	wa-istīlāʼihim	1
وإستغرقت	wa-istaghraqat	1
وإستهجاناً	wa-istihjānan	1
وإستنتاجات	wa-istintājāt	1
وإستمراريتها	wa-istimrārīyatihā	1
